Achille Duchene;ulan;
Adam Perelle;ulan;
Adrien Fainsilber;ulan;
Agostino Chigi;ulan;
Alain Provost;ulan;
Alessandro Algardi;ulan;
Alessandro Farnese II;ulan;
Alexander Spotswood;local;
Alexandre Francini;ulan;
Alexandre Theodore Brongniart;ulan;
Alexandre de Laborde;ulan;
Alfred Caldwell;undefined;
Andre Le Notre;ulan;
Andrea Busiri-Vici;ulan;
Andrea Capponi;undefined;
Andrea Tirali;ulan;
Andres Duany and Elizabeth Plater-Zyberk;undefined;
Andrew Jackson Downing;ulan;
Andy Goldsworthy;ulan;
Anebal Gonzelez Alvarez-Ossorio;ulan;
Annibale Lippi;ulan;
Anthea Gibson;local;
Antoni Gaude;ulan;
Antonio Crivelli;ulan;
Antonio Origo;local;
Antonio da Sangalio the Younger;ulan;
Antonio da Sangallo the Younger;ulan;
Arthur Acton;ulan;
Arthur Asahel Shurcliff;undefined;
Arthur Delevan Gilman;undefined;
Baldassare Peruzzi;ulan;
Balthasar Permoser;ulan;
Bartolomeo Ammanati;ulan;
Beatrix Jones Farrand;ulan;
Bernard Berenson;ulan;
Bernard Ralph Maybeck;ulan;
Bernard Tschumi;ulan;
Bernardo Buontalenti;ulan;
Bruce Porter;ulan;
Caetani family;ulan;
Calvert Vaux;ulan;
Capability Brown;ulan;
Cardinal Ippolito II d'Este;ulan;
Carlo Fontana;ulan;
Carlo Maderno;ulan;
Carlo Rainaldi;ulan;
Carlo Vanvitelli;ulan;
Carol Valentine;local;
Cecil Pinsent;ulan;
Charles B. Atwood;undefined;
Charles Bridgeman;ulan;
Charles Carbonet;ulan;
Charles Garnier;undefined;
Charles Hamilton;ulan;
Charles Howard, Earl of Carlisle;ulan;
Charles Jencks;ulan;
Charles Le Brun;ulan;
Charles Percier;ulan;
Charles Ross;ulan;
Christian Cajus Lorenz Hirschfeld;lcnaf;
Christina Beebe;ulan;
Christo;ulan;
Christoph Unterberger;ulan;
Christopher Lloyd;ulan;
Claude Desgots;ulan;
Claude Lorrain;ulan;
Claude Mollet the Elder;ulan;
Claude Mollet the Younger;ulan;
Colen Campbell;ulan;
Constantijn Huygens I;ulan;
Constantine, Emperor of Rome;ulan;
Cornelia W. Walter;lcnaf;
Cosimo I de' Medici;ulan;
Daniel Marot the Elder;ulan;
Daniel Stoopendaal;ulan;
Daniel Urban Kiley;undefined;
David Bates Douglass;local;
David S. Heeschen;undefined;
Denis Behler;ulan;
Diego Suarez;ulan;
Domenico Antonio Vaccaro;ulan;
Domenico Contarini, Doge of Venice;ulan;
Domenico Fontana;ulan;
Dominque Girard;ulan;
Domitian, Emperor of Rome;ulan;
Donato Bramante;ulan;
Donlyn Lyndon;ulan;
Edmund Curll;lcnaf;
Edouard Franeois Andre;ulan;
Edward Bennett;undefined;
Edwin Lutyens;ulan;
Eero Saarinen;undefined;
Elyn Zimmerman;ulan;
Emmanuel Here de Corny;ulan;
Empress Dowager Cixi;local;
Eugene Behler;ulan;
Eusebi Geell Baron;ulan;
Ferdinand Dietz;ulan;
Ferdinando I, Grand-Duke of Tuscany;undefined;
Flaminio Ponzio;ulan;
Fletcher Steele;ulan;
Florence Bixby;local;
Florence Yoch;ulan;
Francesco Bettini;ulan;
Francesco Castelli;ulan;
Francois Nicolas Henri Racine de Monville;ulan;
Franeois-Joseph Belanger;ulan;
Frederick Hart;local;
Frederick Law Olmsted Sr.;ulan;
Friedrich Ludwig von Sckell;ulan;
Friedrich Wilhelm Erdmannsdorff;ulan;
G. Van Laar;local;
Gabriel Jean Antoine Davioud;ulan;
Gabriel Perelle;ulan;
Ganna Walska;local;
Geoffrey Alan Jellicoe;ulan;
Georg Wenceslaus von Knobelsdorff;ulan;
George Burnap;lcnaf;
George Fox Steedman;local;
George Hargreaves;ulan;
George Washington Smith;ulan;
George-Louis Le Rouge;ulan;
Gertrude Jekyll;ulan;
Giacomo Lauro;ulan;
Giacomo del Duca;ulan;
Giacomo della Porta;ulan;
Giambologna;ulan;
Gian Lorenzo Bernini;ulan;
Gilles Clement;ulan;
Giorgio Vasari;ulan;
Giovanni Battista Falda;ulan;
Giovanni Battista Piranesi;ulan;
Giovanni Fontana;ulan;
Giovanni Francesco Grimaldi;ulan;
Giovanni Francesco Venturini;ulan;
Giovanni Giacomo de Rossi;local;
Giovanni Guerra;ulan;
Giovanni Vasanzio;ulan;
Giovanni da Udine;ulan;
Girolamo Rainaldi;ulan;
Giulio Parigi;ulan;
Giulio Romano;ulan;
Go-Mizunoo;local;
Griffith J. Griffith;local;
Guangxu Emperor;local;
Guiseppe Vasi;ulan;
Guiseppe Zocchi;ulan;
H. S. Ciolkowski;ulan;
H.A.S. Dearborn;undefined;
Harland Hand;ulan;
Henri Duchene;ulan;
Henry Evelyn Pierrepont;lcnaf;
Henry Flitcroft;ulan;
Henry Hoare;ulan;
Henry Huntington;local;
Henry IV, King of France;ulan;
Henry Moore;ulan;
Hermann von Pueckler-Muskau;ulan;
Hippodamos of Miletos;ulan;
Horace Peaslee;local;
Horace Walpole, 4th Earl of Orford;ulan;
Hubert Robert;ulan;
Hugh M. Garden;undefined;
Hugo Anne Cornelis Poortman;ulan;
Humphrey Repton;ulan;
Ian Hamilton Finlay;ulan;
Iris Origo;local;
Isabella Worn;local;
Isabelle Greene;ulan;
Isamu Noguchi;ulan;
Ishikawa J?zan;ulan;
Israel Silvestre;ulan;
J. Merigot;ulan;
J. Paul Getty;local;
J. W. Winder;ulan;
Jacob Bigelow;lcnaf;
Jacob Gole;ulan;
Jacob Pietersz. Roman;ulan;
Jacob van Campen;ulan;
Jacopo da Vignola;ulan;
Jacques Androuet Du Cerceau the Elder;ulan;
Jacques Ange Gabriel;ulan;
Jacques Boyceau;ulan;
Jacques Gondoin;ulan;
Jacques Wirtz;ulan;
James Deering;undefined;
James Gibbs;ulan;
James Gurney Sr.;undefined;
James Rose;undefined;
James Smillie;ulan;
James Thomson;local;
James Turrell;ulan;
Jean Baptise Colbert;ulan;
Jean Charles Adolphe Alphand;ulan;
Jean Le Pautre;ulan;
Jean Nicholas Jadot, Baron de Ville-Issey;ulan;
Jean Tuby, the elder;ulan;
Jean-Antoine Alavoine;ulan;
Jean-Baptiste Lepere;ulan;
Jean-Charles Franeois;ulan;
Jean-Claude Nicolas Forestier;ulan;
Jens Jensen;undefined;
Joachim Carvallo;ulan;
Johann Bernhard Fischer von Erlach;ulan;
Johann David Rentz;ulan;
Johann Friedrich Eyserbeck;local;
Johann George Schoch;local;
Johann Lucas von Hildebrandt;ulan;
Johann Peter Alexander Wagner;ulan;
Johann Prokop Mayer;oxford;
John Aislabie;ulan;
John Andrew Graefer;ulan;
John Chiene Shepherd;ulan;
John Claudius Loudon;ulan;
John Evelyn;ulan;
John McLaren;lcnaf;
John Nash;ulan;
John Tradescant the Elder;ulan;
John Vanbrugh;ulan;
John van Nost II;ulan;
Jorge Silvetti;ulan;
Josep Fontsere i Mestres;ulan;
Joseph L. Silsbee;undefined;
Jules Hardouin Mansart ;ulan;
Karl Friedrich Schinkel;ulan;
Kobori Ensh?;oxford;
Lawrence Halprin;ulan;
Lawrence Waterbury Johnston;ulan;
Lester Collins;ulan;
Lockwood de Forest Jr.;ulan;
Lockwood de Forest Jr. Jr.;ulan;
Lorenz Scherm;ulan;
Louis Bretez;ulan;
Louis Le Vau;ulan;
Louis de Carmontelle;ulan;
Louis-Rene Girardin;ulan;
Lucius Gellius;local;
Luigi Vanvitelli;ulan;
Luis Vare;ulan;
M.A. Henry;local;
Mabel Choate;ulan;
Maggie Keswick;ulan;
Marchese Scipione Capponi;local;
Martin Milmore;ulan;
Martin Puryear;ulan;
Marty Skylar;undefined;
Mateus Vicente de Oliveira;ulan;
Matthaus Daniel Poppelmann;ulan;
Mauro Codussi;ulan;
Maya Ying Lin;ulan;
McKim, Mead and White;undefined;
Medici family;ulan;
Mel Chin;ulan;
Michael Heizer;ulan;
Michael Van Valkenburgh;undefined;
Michel Le Bouteux;ulan;
Michel-etienne Turgot;local;
Michelangelo Buonarroti;ulan;
Michelozzo di Bartolomeo;ulan;
Mien Ruys;ulan;
Mildred Barnes Bliss;ulan;
Nancy Louise Holt;ulan;
Niccole Tribolo;ulan;
Nicholas Hawksmoor;ulan;
Nicholas Perelle;ulan;
Nicholas Stone;ulan;
Nicodemus Tessin the Elder;ulan;
Nicodemus Tessin the Younger;ulan;
Ogawa Jihei;oxford;
Oliviero Orsetti;local;
Olmsted Brothers;undefined;
Orsetti family;local;
Ottaviano Diodati;local;
Otto Walter Beck;ulan;
P. Decker;local;
Pacello da Mercogliano;oxford;
Paul Chalfin;ulan;
Peter Joseph Lenne;ulan;
Peter Scheemakers;ulan;
Phidias;ulan;
Philibert de L'Orme;ulan;
Pier Francesco Orsini;ulan;
Pierre-Franeois-Leonard Fontaine;ulan;
Piet Oudolf;lcnaf;
Pietro Bernini;ulan;
Pietro de' Crescenzi;ulan;
Pirro Ligorio;ulan;
Polykleitos;ulan;
Prince Toshitada;local;
Princess Ghyka;local;
Qianlong Emperor;local;
Raffaellino da Reggio;ulan;
Ralph Adams Cram;undefined;
Ralph T. Stevens;local;
Randy Bright;undefined;
Raphael;ulan;
Richard Boyle, 3rd Earl of Burlington;ulan;
Richard Meier;ulan;
Richard Mique;ulan;
Richard Morris Hunt;undefined;
Richard Payne Knight;ulan;
Richard Upjohn;ulan;
Robert Adam;ulan;
Robert Castell;ulan;
Robert Cecil, Earl of Salisbury;ulan;
Robert Hart;Roy O. Disney;
Robert Hinshelwood;ulan;
Robert Irwin;ulan;
Robert Morris;ulan;
Robert Smithson;ulan;
Robert Yudell;ulan;
Roberto Burle Marx;ulan;
Rodolfo Machado;ulan;
Rosemary Verey;ulan;
Russel Wright;ulan;
Salomon de Brosse;ulan;
Salomon de Caus;ulan;
Samuel Pepys Cockerell I;ulan;
Scipione Borghese;ulan;
Shen Yuan;local;
Simeon Godeau;ulan;
Simone Felice;ulan;
Stoldo di Gino Lorenzi;ulan;
Tang Dai;local;
Thomas Blaikie;ulan;
Thomas Dolliver Church;ulan;
Thomas Duncombe;local;
Thomas Fazio;undefined;
Thomas Jefferson;ulan;
Thomas Mawson;oxford;
Thomas Moran;ulan;
Thomas Robinson;ulan;
Thomas Roscoe;local;
Tommaso Francini;ulan;
Tommaso Mattei;local;
Veldon Simpson;undefined;
Vincenzo Jerace;local;
Vincenzo Pacetti;ulan;
Vita Sackville-West;ulan;
Vivant Denon;ulan;
Walt Disney;undefined;
Walter De Maria;ulan;
Wiliam Hammond Hall;local;
Willem Swidde;ulan;
William Chambers;ulan;
William Cullen Bryant;lcnaf;
William Gilpin;ulan;
William Hertrich;lcnaf;
William Kent;ulan;
William Le Baron Jenney;undefined;
William Radclyffe;ulan;
William Watts;ulan;
William Wordsworth;ulan;
William Wrighte;ulan;
Willis Jefferson Polk;ulan;
Xu Shitai;oxford;
Zanobi Lapi;local;
undefined;undefined
