Chateau de Versailles;161;2;
Disneyworld;99;2;
Parc Andre Citroen;89;2;
Little Sparta;85;2;
Machu Picchu;82;2;
Hadrian's Villa;78;2;
Alhambra;74;2;
Chateau de Vaux-le-Vicomte;73;2;
Villa Lante;73;2;
Filoli;64;2;
Villa Gamberaia;63;2;
Stowe;63;2;
Ephesus;57;2;
Le Bois des Moutiers;54;2;
Sanssouci;54;2;
Lotusland;54;2;
Garden of Cosmic Speculation;54;2;
Chateau de Chantilly;53;2;
Naumkeag;52;2;
Pompeii;52;2;
Parc de la Villette;50;2;
Delphi;50;2;
Athens;50;2;
Great Dixter;49;2;
Irwin Family Garden;46;2;
Priene;46;1;
Boboli Gardens;45;2;
Castle Howard;44;2;
Dessau-Werlitz Gartenreich;43;2;
Villa Garzoni;43;2;
Pergamum;41;2;
Villa Medici;41;2;
Veitshechheim;40;2;
Seville;40;2;
Villa Giulia;37;2;
Dumbarton Oaks;37;2;
The Sea Ranch;37;2;
Teotihuacen;36;2;
Rousham;36;2;
Park Geell;35;2;
Knosses;35;2;
Chateau de Courances;35;2;
Painshill;35;2;
Villa La Foce;34;2;
Bosco Sacro;33;2;
Ermenonville;32;2;
Crissy Field;32;2;
The Strip;32;2;
Granada;31;2;
Mesa Verde National Park;30;2;
Taos Pueblo;30;2;
Miletus;30;2;
Villa Aldobrandini;30;2;
Mill Race Park;29;2;
Chateau de Fontainebleau;29;2;
Generalife;29;2;
undefined;29;1;
Sezincote;28;2;
Chateau de Bagatelle;28;2;
Isola Bella;28;2;
Villa Doria Pamphili;28;2;
Innisfree;27;2;
Chaco Canyon;27;2;
Miller House;27;2;
Cahokia;27;2;
Villa Madama;26;2;
Agra Fort (Agra, India);26;0;
Casa del Herrero;26;2;
Carol Valentine's Garden;26;2;
Mycenae;25;2;
Yosemite National Park;25;2;
Sissinghurst Castle Garden;25;2;
Hidcote Manor;25;2;
Het Loo Paleis;25;2;
Palazzo Reale;24;2;
Chateau de Villandry;24;2;
Luiz Cezar Fernandes Garden;24;1;
Residenz;24;2;
James Rose Houses;24;2;
Monte Alben;23;2;
Villa I Tatti;23;2;
Vatican Gardens;23;2;
Palazzo Farnese;22;2;
Villa Farnesina;22;2;
Arnold Arboretum;22;2;
Red Fort of Agra;22;2;
Olympia;22;2;
Manitoga;22;2;
Parc de Sceaux;22;2;
Canyon de Chelly;22;2;
Faistes;22;2;
Canyon del Muerto;21;2;
Getty Center;21;2;
Saihoji Temple;21;2;
Chateau de Chenonceaux;21;2;
Garden of Ninfa;21;2;
Lake Titicaca;21;2;
Villa d'Este;20;2;
Magazijn van tuin-sieraaden;20;0;
James Rose Garden;20;2;
Toledo;20;2;
Park von Muskau;19;2;
Blenheim Palace;19;2;
Giardino di Ninfa (Italy);19;0;
Tiergarten;19;2;
Temple of Apollo;19;1;
Schenbrunn;19;2;
El Morro National Monument;18;0;
Herculaneum;18;1;
Rancho Los Alamitos;18;0;
Villa La Pietra;18;1;
Pinewood;18;2;
Casa Rinconada;18;2;
Battery Park City;18;2;
Villa Borghese;18;2;
Moraine Farm;17;2;
Nymphenburg Palace;17;2;
Promenade ou itineraire des jardins d'Ermenonville, auquel on a joint vingt-cinq de leurs principales vues dessines & gravees par Merigot fils;17;0;
Vizcaya;17;2;
Harland Hand Memorial Garden;17;1;
Seaside;17;2;
Villa La Balze;16;2;
Public Gardens;16;0;
Troy;16;2;
Acona Pueblo;16;2;
Stourhead;16;2;
Parc des Buttes-Chaumont;16;2;
Setio Roberto Burle Marx;16;2;
Humayun's Tomb;15;2;
Taj Mahal;15;2;
Villa d' Este;15;2;
San Jose de Gracia;15;0;
Studley Royal;15;2;
Oplontis;15;2;
Riverway;15;2;
Forest Lawn Cemetery;15;2;
Ginkakuji;15;1;
Barnsley House;15;2;
Wellesley College;14;0;
Riverside;14;2;
Mien Ruys Gardens;14;2;
Cornerstone Churches;14;0;
Parc Monceau;14;2;
Shugakuin Riky?;14;2;
